time (seconds),encoderLeft (meters),encoderRight (meters)
21.704,1.6470595598220825,1.3507962226867676
21.801,1.7218716144561768,1.4256093502044678
21.904,1.724946141242981,1.424128532409668
22.002,1.7991952896118164,1.4982311725616455
22.104,1.8022867441177368,1.4967756271362305
22.202,1.8767451047897339,1.571110486984253
22.302,1.9517412185668945,1.6461060047149658
22.402,2.0267374515533447,1.7211016416549683
22.502,2.1015496253967285,1.7959141731262207
22.604,2.1046183109283447,1.7944252490997314
22.704,2.17903470993042,1.86869215965271
22.801,2.2540268898010254,1.943665862083435
22.901,2.3290061950683594,2.018629312515259
23.001,2.4039902687072754,2.0935885906219482
23.102,2.478973627090454,2.1685638427734375
23.202,2.553952932357788,2.2435317039489746
23.302,2.628929615020752,2.318505048751831
23.402,2.703908920288086,2.393479824066162
23.505,2.7788915634155273,2.4684510231018066
23.607,2.853673219680786,2.5432188510894775
23.703,2.8520584106445312,2.546198844909668
23.796,2.926325798034668,2.6205976009368896
23.902,3.001309871673584,2.6955692768096924
24.004,3.0760958194732666,2.7703423500061035
24.102,3.07667875289917,2.7709155082702637
24.202,3.0766775608062744,2.770914077758789
24.299,3.076676368713379,2.7709126472473145
24.405,3.0766749382019043,2.770911455154419
24.499,3.076673746109009,2.7709100246429443
24.602,3.0766725540161133,2.7709085941314697
24.696,3.0766713619232178,2.770907163619995
24.803,3.0766680240631104,2.770900011062622
24.902,3.076666831970215,2.7708985805511475
24.996,3.0766656398773193,2.770897150039673
25.102,3.0766608715057373,2.770885944366455
25.201,3.076659679412842,2.7708845138549805
25.302,3.0766584873199463,2.770883321762085
25.402,3.076655864715576,2.7708775997161865
